iteration,reward_mean,length_mean,games,loss
500,-1.0,2.0,9,"[array(-1.13179599), array(-1.20475471), array(0.07295872, dtype=float32)]"
1000,-1.0,2.0,8,"[array(-1.18469378), array(-1.2578824), array(0.07318863, dtype=float32)]"
1500,-1.0,2.0,9,"[array(-1.28638672), array(-1.36931041), array(0.08292368, dtype=float32)]"
2000,-1.0,2.0,10,"[array(-1.23730775), array(-1.31001097), array(0.07270322, dtype=float32)]"
2500,-1.0,2.0,9,"[array(-1.25106029), array(-1.32606744), array(0.07500715, dtype=float32)]"
3000,-0.88,2.12,8,"[array(-1.26886965), array(-1.34979506), array(0.08092541, dtype=float32)]"
3500,-1.0,2.0,9,"[array(-1.31290814), array(-1.40749717), array(0.09458903, dtype=float32)]"
4000,-0.91,2.09,11,"[array(-1.23188665), array(-1.30986719), array(0.07798054, dtype=float32)]"
4500,-1.0,2.0,9,"[array(-1.24969711), array(-1.3246956), array(0.07499848, dtype=float32)]"
5000,-1.0,2.0,8,"[array(-1.3448774), array(-1.4316015), array(0.0867241, dtype=float32)]"
5500,-1.0,2.0,9,"[array(-1.29600877), array(-1.36413694), array(0.06812818, dtype=float32)]"
6000,-1.0,2.0,8,"[array(-1.25343654), array(-1.32846627), array(0.07502974, dtype=float32)]"
6500,-0.88,2.12,8,"[array(-1.15237344), array(-1.22654388), array(0.07417044, dtype=float32)]"
7000,-1.0,2.0,9,"[array(-1.35748824), array(-1.42892501), array(0.07143678, dtype=float32)]"
7500,-1.0,2.0,9,"[array(-1.22523225), array(-1.30635646), array(0.08112422, dtype=float32)]"
8000,-1.0,2.0,10,"[array(-1.27096067), array(-1.35127692), array(0.08031625, dtype=float32)]"
8500,-0.89,2.11,9,"[array(-1.33891996), array(-1.40545703), array(0.06653707, dtype=float32)]"
9000,-0.89,2.11,9,"[array(-1.14347988), array(-1.21864073), array(0.07516085, dtype=float32)]"
9500,-1.0,2.0,10,"[array(-1.07937675), array(-1.17281564), array(0.09343889, dtype=float32)]"
10000,-1.0,2.0,9,"[array(-1.29882287), array(-1.38424039), array(0.08541752, dtype=float32)]"
10500,-1.0,2.0,9,"[array(-1.07033271), array(-1.16140245), array(0.09106974, dtype=float32)]"
11000,-1.0,2.0,8,"[array(-1.31431197), array(-1.3910641), array(0.07675213, dtype=float32)]"
11500,-1.0,2.0,8,"[array(-1.28250999), array(-1.34974242), array(0.06723243, dtype=float32)]"
12000,-1.0,2.0,10,"[array(-1.14777491), array(-1.21897895), array(0.07120404, dtype=float32)]"
12500,-1.0,2.0,9,"[array(-1.22311656), array(-1.30486009), array(0.08174352, dtype=float32)]"
13000,-1.0,2.0,10,"[array(-1.21216526), array(-1.28899131), array(0.07682606, dtype=float32)]"
13500,-1.0,2.0,8,"[array(-1.16696), array(-1.25623093), array(0.08927093, dtype=float32)]"
14000,-0.82,2.18,11,"[array(-1.3198541), array(-1.3870962), array(0.0672421, dtype=float32)]"
14500,-1.0,2.0,9,"[array(-1.26567633), array(-1.34550045), array(0.07982412, dtype=float32)]"
15000,-0.88,2.12,8,"[array(-1.22952613), array(-1.30906016), array(0.07953403, dtype=float32)]"
15500,-1.0,2.0,11,"[array(-1.31103792), array(-1.39110811), array(0.0800702, dtype=float32)]"
16000,-1.0,2.0,9,"[array(-1.37596313), array(-1.44868824), array(0.07272511, dtype=float32)]"
16500,-1.0,2.0,8,"[array(-1.35500763), array(-1.42872946), array(0.07372183, dtype=float32)]"
17000,-1.0,2.0,8,"[array(-1.27953717), array(-1.3524563), array(0.07291912, dtype=float32)]"
17500,-1.0,2.0,13,"[array(-1.22780789), array(-1.3021427), array(0.07433481, dtype=float32)]"
18000,-0.88,2.12,8,"[array(-1.19776515), array(-1.27828244), array(0.08051729, dtype=float32)]"
18500,-1.0,2.0,8,"[array(-1.36430432), array(-1.45120953), array(0.0869052, dtype=float32)]"
19000,-1.0,2.0,11,"[array(-1.31343175), array(-1.38463387), array(0.07120212, dtype=float32)]"
19500,-1.0,2.0,11,"[array(-1.11612234), array(-1.19660943), array(0.08048709, dtype=float32)]"
20000,-1.0,2.0,8,"[array(-1.21100306), array(-1.27480481), array(0.06380175, dtype=float32)]"
20500,-1.0,2.0,8,"[array(-1.32083855), array(-1.3975874), array(0.07674885, dtype=float32)]"
21000,-1.0,2.0,9,"[array(-1.26805049), array(-1.34567031), array(0.07761982, dtype=float32)]"
21500,-1.0,2.0,9,"[array(-1.26251093), array(-1.34010787), array(0.07759694, dtype=float32)]"
22000,-1.0,2.0,8,"[array(-1.32262807), array(-1.41302251), array(0.09039444, dtype=float32)]"
22500,-1.0,2.0,10,"[array(-1.27771766), array(-1.35701135), array(0.07929368, dtype=float32)]"
23000,-1.0,2.0,8,"[array(-1.27738735), array(-1.34639002), array(0.06900267, dtype=float32)]"
23500,-1.0,2.0,8,"[array(-1.18825493), array(-1.2578409), array(0.06958596, dtype=float32)]"
24000,-0.92,2.08,12,"[array(-1.28133855), array(-1.3522884), array(0.07094985, dtype=float32)]"
24500,-0.88,2.12,8,"[array(-1.26988055), array(-1.35734293), array(0.08746238, dtype=float32)]"
25000,-1.0,2.0,8,"[array(-1.23834235), array(-1.3072025), array(0.06886014, dtype=float32)]"
25500,-0.62,2.38,8,"[array(-1.28977735), array(-1.36752055), array(0.0777432, dtype=float32)]"
26000,-1.0,2.0,9,"[array(-1.17975502), array(-1.25798262), array(0.07822759, dtype=float32)]"
26500,-0.75,2.25,8,"[array(-1.22703264), array(-1.29149891), array(0.06446628, dtype=float32)]"
27000,-0.88,2.12,8,"[array(-1.3743001), array(-1.439832), array(0.06553189, dtype=float32)]"
27500,-1.0,2.0,8,"[array(-1.22559979), array(-1.30357142), array(0.07797164, dtype=float32)]"
28000,-1.0,2.0,8,"[array(-1.25567406), array(-1.32849722), array(0.07282316, dtype=float32)]"
28500,-1.0,2.0,8,"[array(-1.17206548), array(-1.23805869), array(0.06599321, dtype=float32)]"
29000,-1.0,2.0,10,"[array(-1.25445002), array(-1.33047595), array(0.07602593, dtype=float32)]"
29500,-1.0,2.0,8,"[array(-1.27646021), array(-1.34949389), array(0.07303368, dtype=float32)]"
30000,-0.89,2.11,9,"[array(-1.31823548), array(-1.38845819), array(0.07022271, dtype=float32)]"
30500,-1.0,2.0,10,"[array(-1.30145421), array(-1.37668747), array(0.07523327, dtype=float32)]"
31000,-1.0,2.0,9,"[array(-1.26802056), array(-1.35810012), array(0.09007955, dtype=float32)]"
31500,-1.0,2.0,9,"[array(-1.28249919), array(-1.34973028), array(0.06723108, dtype=float32)]"
32000,-0.91,2.09,11,"[array(-1.35597773), array(-1.42640139), array(0.07042366, dtype=float32)]"
32500,-0.89,2.11,9,"[array(-1.27990601), array(-1.34987672), array(0.06997071, dtype=float32)]"
33000,-1.0,2.0,10,"[array(-1.22797143), array(-1.31871972), array(0.0907483, dtype=float32)]"
33500,-1.0,2.0,8,"[array(-1.22305051), array(-1.300527), array(0.07747649, dtype=float32)]"
34000,-1.0,2.0,8,"[array(-1.28255009), array(-1.3678099), array(0.08525982, dtype=float32)]"
34500,-0.89,2.11,9,"[array(-1.29229319), array(-1.36892471), array(0.07663152, dtype=float32)]"
35000,-1.0,2.0,11,"[array(-1.33257555), array(-1.40377773), array(0.07120218, dtype=float32)]"
35500,-1.0,2.0,8,"[array(-1.25001604), array(-1.3338113), array(0.08379526, dtype=float32)]"
36000,-0.78,2.22,9,"[array(-1.28034621), array(-1.35340118), array(0.07305497, dtype=float32)]"
36500,-1.0,2.0,9,"[array(-1.348166), array(-1.4155504), array(0.0673844, dtype=float32)]"
37000,-1.0,2.0,9,"[array(-1.3547118), array(-1.42841984), array(0.07370804, dtype=float32)]"
37500,-1.0,2.0,10,"[array(-1.23196222), array(-1.30683731), array(0.07487509, dtype=float32)]"
38000,-1.0,2.0,12,"[array(-1.32941163), array(-1.40740272), array(0.07799109, dtype=float32)]"
38500,-1.0,2.0,9,"[array(-1.23443805), array(-1.31142388), array(0.07698583, dtype=float32)]"
39000,-1.0,2.0,8,"[array(-1.21638341), array(-1.29592417), array(0.07954076, dtype=float32)]"
39500,-0.89,2.11,9,"[array(-1.29045334), array(-1.3768759), array(0.08642256, dtype=float32)]"
40000,-1.0,2.0,9,"[array(-1.35553729), array(-1.42804263), array(0.07250533, dtype=float32)]"
40500,-1.0,2.0,8,"[array(-1.18969635), array(-1.26213724), array(0.07244089, dtype=float32)]"
41000,-0.89,2.11,9,"[array(-1.20520094), array(-1.27679492), array(0.07159398, dtype=float32)]"
41500,-0.75,2.25,8,"[array(-1.18249004), array(-1.26233196), array(0.07984192, dtype=float32)]"
42000,-1.0,2.0,8,"[array(-1.2668792), array(-1.32976393), array(0.06288473, dtype=float32)]"
42500,-1.0,2.0,9,"[array(-1.23858597), array(-1.30488599), array(0.06630002, dtype=float32)]"
43000,-0.88,2.12,8,"[array(-1.15004615), array(-1.24805574), array(0.09800959, dtype=float32)]"
43500,-0.89,2.11,9,"[array(-1.2687467), array(-1.3496723), array(0.08092561, dtype=float32)]"
44000,-1.0,2.0,9,"[array(-1.2822086), array(-1.36512944), array(0.08292084, dtype=float32)]"
44500,-1.0,2.0,8,"[array(-1.36053957), array(-1.43425408), array(0.07371451, dtype=float32)]"
45000,-1.0,2.0,9,"[array(-1.17093778), array(-1.25354203), array(0.08260424, dtype=float32)]"
45500,-1.0,2.0,9,"[array(-1.31074304), array(-1.396074), array(0.08533096, dtype=float32)]"
46000,-1.0,2.0,9,"[array(-1.38109786), array(-1.45868884), array(0.07759098, dtype=float32)]"
46500,-0.8,2.2,10,"[array(-1.30545058), array(-1.39086592), array(0.08541534, dtype=float32)]"
47000,-1.0,2.0,10,"[array(-1.24166494), array(-1.32026087), array(0.07859593, dtype=float32)]"
47500,-1.0,2.0,8,"[array(-1.26062962), array(-1.3445557), array(0.08392608, dtype=float32)]"
48000,-0.9,2.1,10,"[array(-1.35287248), array(-1.42768445), array(0.07481197, dtype=float32)]"
48500,-0.78,2.22,9,"[array(-1.2898938), array(-1.35730325), array(0.06740946, dtype=float32)]"
49000,-1.0,2.0,9,"[array(-1.29782364), array(-1.36691235), array(0.06908871, dtype=float32)]"
49500,-0.7,2.3,10,"[array(-1.26739303), array(-1.3501476), array(0.08275457, dtype=float32)]"
50000,-0.89,2.11,9,"[array(-1.27146581), array(-1.33700638), array(0.06554057, dtype=float32)]"
50500,-0.9,2.1,10,"[array(-1.34726613), array(-1.41233934), array(0.06507321, dtype=float32)]"
51000,-0.8,2.2,10,"[array(-1.2920716), array(-1.36838008), array(0.07630848, dtype=float32)]"
51500,-0.8,2.2,10,"[array(-1.18925175), array(-1.27407684), array(0.08482509, dtype=float32)]"
52000,-1.0,2.0,10,"[array(-1.19370492), array(-1.27108172), array(0.0773768, dtype=float32)]"
52500,-1.0,2.0,10,"[array(-1.32213324), array(-1.40529906), array(0.08316582, dtype=float32)]"
53000,-1.0,2.0,8,"[array(-1.34867813), array(-1.41531478), array(0.06663665, dtype=float32)]"
